<<<<<<< HEAD
"<h4>Default Template</h4><p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<H4>デフォルトのテンプレート</ H4>  <P>は<a href=""http://jinja.pocoo.org/docs/templates/"">神社テンプレート</ A>とアドレスのすべてのフィールドを（使用カスタムフィールドがある場合）を含むことは利用できるようになります。</ P>  <PRE>の<code> {{address_line1}}検索 {％の場合address_line2％} {{address_line2}} {検索％ENDIF - ％}  {{都市}}検索 {％であれば、状態％} {{状態}}検索{％endifの - ％}  {％の場合PINコードの％}ピン：{{PINコード}}検索{％endifの - ％}  {{国}}検索 {％であれば、電話％}電話：{{電話}} {検索％ENDIF - ％}  {％の場合のFAX％}ファックス：{{ファクス}}検索{％endifの - ％}  {％email_id％}メールの場合：{{email_id}}検索、{％endifの - ％}  </ code>を</ PRE>"
A Customer Group exists with same name please change the Customer name or rename the Customer Group,顧客グループが同じ名前で存在顧客名を変更するか、顧客グループの名前を変更してください
A Customer exists with same name,お客様は、同じ名前で存在
A Lead with this email id should exist,このメールIDを持つ鉛は存在している必要があります
A Product or Service,製品またはサービス
A Supplier exists with same name,サプライヤーは、同じ名前で存在
A symbol for this currency. For e.g. $,この通貨のシンボル。例えば$のための
AMC Expiry Date,AMCの有効期限日
Abbr,略称
Abbreviation cannot have more than 5 characters,略語は、5つ以上の文字を使用することはできません
Above Value,値を上回る
Absent,ない
Acceptance Criteria,合否基準
Accepted,承認済
Accepted + Rejected Qty must be equal to Received quantity for Item {0},一般に認められた+拒否数量、アイテムの受信量と等しくなければなりません{0}
Accepted Quantity,受け入れ数量
Accepted Warehouse,一般に認められた倉庫
Account,アカウント
Account Balance,アカウント残高
Account Created: {0},アカウント作成：{0}
Account Details,アカウント詳細
Account Head,アカウントヘッド
Account Name,アカウント名
Account Type,アカウントの種類
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",口座残高がすでにクレジットで、あなたが設定することはできません」デビット」としてのバランスをマスト '
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",すでにデビットでの口座残高、あなたは次のように「クレジット」のバランスでなければなりません 'を設定することはできません
Account for the warehouse (Perpetual Inventory) will be created under this Account.,倉庫（パーペチュアルインベントリー）のアカウントは、このアカウントの下に作成されます。
Account head {0} created,アカウントヘッド{0}を作成
Account must be a balance sheet account,アカウントは、貸借対照表勘定である必要があります
Account with child nodes cannot be converted to ledger,子ノードを持つアカウントは、元帳に変換することはできません
Account with existing transaction can not be converted to group.,既存のトランザクションを持つアカウントをグループに変換することはできません。
Account with existing transaction can not be deleted,既存のトランザクションを持つアカウントを削除することはできません
Account with existing transaction cannot be converted to ledger,既存のトランザクションを持つアカウントは、元帳に変換することはできません
Account {0} cannot be a Group,アカウントは{0}グループにすることはできません
Account {0} does not belong to Company {1},アカウントは{0}会社に所属していない{1}
Account {0} does not belong to company: {1},アカウント{0}の会社に属していません：{1}
Account {0} does not exist,アカウント{0}は存在しません
Account {0} has been entered more than once for fiscal year {1},アカウント{0}は会計年度の{1}を複数回入力されました
Account {0} is frozen,アカウント{0}凍結されている
Account {0} is inactive,アカウント{0}が非アクティブである
Account {0} is not valid,アカウント{0}は有効ではありません
Account {0} must be of type 'Fixed Asset' as Item {1} is an Asset Item,アカウント項目{1}として{0}型でなければなりません '固定資産は、「資産項目である
Account {0}: Parent account {1} can not be a ledger,アカウント{0}：親勘定は、{1}元帳にすることはできません
Account {0}: Parent account {1} does not belong to company: {2},アカウント{0}：親勘定{1}会社に属していません：{2}
Account {0}: Parent account {1} does not exist,アカウント{0}：親勘定{1}が存在しません
Account {0}: You can not assign itself as parent account,アカウント{0}：あなたが親勘定としての地位を割り当てることはできません
Account: {0} can only be updated via \					Stock Transactions,アカウント：\株式取引{0}のみを経由して更新することができます
Accountant,会計士
Accounting,課金
"Accounting Entries can be made against leaf nodes, called",会計エントリと呼ばれる、リーフノードに対して行うことができる
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.",この日付までに凍結会計エントリは、誰もが行うことができない/下の指定されたロールを除き、エントリを修正します。
Accounting journal entries.,会計仕訳。
Accounts,アカウント
Accounts Browser,アカウントブラウザ
Accounts Frozen Upto,冷凍点で最大を占める
Accounts Payable,買掛金
Accounts Receivable,受け取りアカウント
Accounts Settings,設定のアカウント
Active,アクティブ
Active: Will extract emails from ,
Activity,アクティビティ
Activity Log,活動記録
Activity Log:,アクティビティログ：
Activity Type,活動の型
Actual,実際
Actual Budget,実際の予算
Actual Completion Date,実際の完了日
Actual Date,実際の日付
Actual End Date,実際の終了日
Actual Invoice Date,実際の請求日
Actual Posting Date,実際の転記日付
Actual Qty,実際の数量
Actual Qty (at source/target),実際の数量（ソース/ターゲットで）
Actual Qty After Transaction,トランザクションの後、実際の数量
Actual Qty: Quantity available in the warehouse.,実際の個数：倉庫内の利用可能な数量。
Actual Quantity,実際の数量
Actual Start Date,実際の開始日
Add,追加メニュー
Add / Edit Taxes and Charges,追加/編集税金、料金
Add Child,子供を追加
Add Serial No,シリアル番号を追加します。
Add Taxes,税金を追加
Add Taxes and Charges,税金、料金を追加する
Add or Deduct,追加または控除
Add rows to set annual budgets on Accounts.,アカウントの年間予算を設定するための行を追加します。
Add to Cart,カートに入れる
Add to calendar on this date,この日付にカレンダーに追加
Add/Remove Recipients,追加/受信者の削除
Address,アドレス
Address & Contact,住所·お問い合わせ
Address & Contacts,住所と連絡先
Address Desc,お得！住所
Address Details,住所の詳細
Address HTML,住所のHTML
Address Line 1,住所 1行目
Address Line 2,住所　2行目
Address Template,アドレステンプレート
Address Title,アドレスタイトル
Address Title is mandatory.,アドレスタイトルは必須です。
Address Type,アドレスの種類
Address master.,住所マスター。
Administrative Expenses,一般管理費
Administrative Officer,行政官
Advance Amount,進角量
Advance amount,進角量
Advances,前払
Advertisement,アドバタイズメント
Advertising,広告
Aerospace,航空宇宙
After Sale Installations,販売のインストール後に
Against,に対して
Against Account,アカウントに対して
Against Bill {0} dated {1},ビル·{0}に対して{1}日付け
Against Docname,DOCNAMEに対する
Against Doctype,文書型に対する
Against Document Detail No,ドキュメントの詳細に対して何
Against Document No,ドキュメントNoに対する
Against Expense Account,費用勘定に対する
Against Income Account,所得収支に対する
Against Journal Voucher,ジャーナルバウチャーに対する
Against Journal Voucher {0} does not have any unmatched {1} entry,ジャーナルバウチャーに対して{0}は、比類のない{1}のエントリがありません
Against Purchase Invoice,購入の請求書に対する
Against Sales Invoice,納品書に対する
Against Sales Order,受注に対する
Against Voucher,バウチャーに対する
Against Voucher Type,バウチャー型に対する
Ageing Based On,に基づくエイジング
Ageing Date is mandatory for opening entry,高齢化日付は、開口部エントリの必須です
Ageing date is mandatory for opening entry,日付が高齢化すると、エントリを開くための必須です
Agent,エージェント
Aging Date,高齢化日付
Aging Date is mandatory for opening entry,日エージングエントリを開くための必須です
Agriculture,農業
Airline,航空会社
All Addresses.,すべてのアドレス。
All Contact,すべてのお問い合わせ
All Contacts.,すべての連絡先。
All Customer Contact,すべての顧客との接触
All Customer Groups,すべての顧客グループ
All Day,一日中
All Employee (Active),すべての従業員（アクティブ）
All Item Groups,すべての項目グループ
All Lead (Open),すべての鉛（オープン）
All Products or Services.,すべての製品またはサービスを提供しています。
All Sales Partner Contact,すべての販売パートナー企業との接触
All Sales Person,すべての営業担当者
All Supplier Contact,すべてのサプライヤーとの接触
All Supplier Types,すべてのサプライヤーの種類
All Territories,すべての地域
"All export related fields like currency, conversion rate, export total, export grand total etc are available in Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.",通貨、変換レート、輸出の合計、輸出総計などのようなすべての輸出関連分野は、納品書、POS、見積書、納品書、受注などでご利用いただけます
"All import related fields like currency, conversion rate, import total, import grand total etc are available in Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.",通貨、変換レート、輸入総輸入総計などのようなすべてのインポートに関連するフィールドは、購入時の領収書、サプライヤー見積、購入請求書、発注書などでご利用いただけます
All items have already been invoiced,すべての項目は、すでに請求されています
All these items have already been invoiced,すべてのこれらの項目は、すでに請求されています
Allocate,割り当て
Allocate leaves for a period.,期間葉を割り当てる。
Allocate leaves for the year.,今年の葉を割り当てる。
Allocated Amount,配分された金額
Allocated Budget,割当予算
Allocated amount,割り当てられた量
Allocated amount can not be negative,割り当てられた量は負にすることはできません
Allocated amount can not greater than unadusted amount,配分された金額unadusted量よりも多くすることはできません
Allow Bill of Materials,部品表を許容
Allow Bill of Materials should be 'Yes'. Because one or many active BOMs present for this item,部品表には「はい」でなければならないようにします。1そのためか、この項目の存在する多くの積極的な部品表
Allow Children,子どもたちに許可します
Allow Dropbox Access,Dropboxのアクセスを許可
Allow Google Drive Access,Googleドライブのアクセスを許可
Allow Negative Balance,マイナス残高を許可する
Allow Negative Stock,負の株式を許可する
Allow Production Order,許可する製造指図
Allow User,ユーザに許可
Allow Users,許可するユーザー
Allow the following users to approve Leave Applications for block days.,次のユーザーがブロック日間休暇アプリケーションを承認することができます。
Allow user to edit Price List Rate in transactions,ユーザーがトランザクションに価格表レートを編集することができます
Allowance Percent,手当の割合
Allowance for over-{0} crossed for Item {1},過{0}のための引当金は、Item {1}のために交差
Allowance for over-{0} crossed for Item {1}.,過{0}のための引当金は、Item {1}のために渡った。
Allowed Role to Edit Entries Before Frozen Date,冷凍日より前のエントリを編集することが許可されている役割
Amended From,から改正
Amount,金額
Amount (Company Currency),金額（会社通貨）
Amount Paid,支払金額
Amount to Bill,請求書に金額
An Customer exists with same name,お客様は、同じ名前で存在
"An Item Group exists with same name, please change the item name or rename the item group",項目グループが同じ名前で存在しますが、項目名を変更したり、項目のグループの名前を変更してください
"An item exists with same name ({0}), please change the item group name or rename the item",項目は（{0}）は、項目のグループ名を変更したり、項目の名前を変更してください同じ名前で存在
Analyst,アナリスト
Annual,毎年恒例の
Another Period Closing Entry {0} has been made after {1},{0} {1}の後に行われた別の期間の決算仕訳
Another Salary Structure {0} is active for employee {0}. Please make its status 'Inactive' to proceed.,別の給与体系は、{0}の従業員のためにアクティブになっている{0}。その状態「非アクティブ」は続行してください。
"Any other comments, noteworthy effort that should go in the records.",他のコメントは、記録に行く必要があり注目に値する努力。
Apparel & Accessories,アパレル＆アクセサリー
Applicability,適用可能性
Applicable For,に適用可能
Applicable Holiday List,該当する休日リスト
Applicable Territory,該当する地域
Applicable To (Designation),（指定）に適用
Applicable To (Employee),（従業員）に適用
Applicable To (Role),（役割）に適用
Applicable To (User),（ユーザー）に適用
Applicant Name,出願人名
Applicant for a Job.,仕事のための申請者。
Application of Funds (Assets),ファンドのアプリケーション（資産）
Applications for leave.,休暇のためのアプリケーション。
Applies to Company,会社に適用されます
Apply On,[適用
Appraisal,評価
Appraisal Goal,鑑定ゴール
Appraisal Goals,鑑定の目標
Appraisal Template,鑑定テンプレート
Appraisal Template Goal,鑑定テンプレートゴール
Appraisal Template Title,鑑定テンプレートタイトル
Appraisal {0} created for Employee {1} in the given date range,評価{0} {1}指定された日付範囲内に従業員のために作成
Apprentice,徒弟
Approval Status,承認状況
Approval Status must be 'Approved' or 'Rejected',承認ステータスは「承認」または「拒否」されなければならない
Approved,承認
Approver,承認者
Approving Role,承認役割
Approving Role cannot be same as role the rule is Applicable To,役割を承認すると、ルールが適用されるロールと同じにすることはできません
Approving User,承認ユーザー
Approving User cannot be same as user the rule is Applicable To,ユーザーを承認すると、ルールが適用されるユーザーと同じにすることはできません
Are you sure you want to STOP ,
Are you sure you want to UNSTOP ,
Arrear Amount,滞納額
"As Production Order can be made for this item, it must be a stock item.",製造指図はこの項目のために作られているように、それは株式項目でなければなりません。
As per Stock UOM,証券UOMに従って
"As there are existing stock transactions for this item, you can not change the values of 'Has Serial No', 'Is Stock Item' and 'Valuation Method'",既存の株式取引はこの項目のために存在するので、あなたは 'はシリアル番号」の値を変更することはできませんし、「評価方法」「ストックアイテムです'
Asset,アセット
Assistant,助教授
Associate,共同経営
Atleast one of the Selling or Buying must be selected,販売または購入の少なくともいずれかを選択する必要があります
Atleast one warehouse is mandatory,少なくとも1倉庫は必須です
Attach Image,画像を添付し
Attach Letterhead,レターヘッドを取り付け
Attach Logo,ロゴを添付
Attach Your Picture,あなたの写真を添付し
Attendance,出席
Attendance Date,出席日
Attendance Details,出席の詳細
Attendance From Date,日出席
Attendance From Date and Attendance To Date is mandatory,日付日付と出席からの出席は必須です
Attendance To Date,日への出席
Attendance can not be marked for future dates,出席は将来の日付にマークを付けることはできません
Attendance for employee {0} is already marked,従業員の出席は{0}はすでにマークされている
Attendance record.,出席記録。
Authorization Control,認可制御
Authorization Rule,許可規則
Auto Accounting For Stock Settings,在庫設定の自動会計
Auto Material Request,オート素材リクエスト
Auto-raise Material Request if quantity goes below re-order level in a warehouse,オートレイズの素材要求量が倉庫にリオーダーレベル以下になった場合
Automatically compose message on submission of transactions.,自動的に取引の提出にメッセージを作成します。
Automatically extract Job Applicants from a mail box ,
Automatically extract Leads from a mail box e.g.,メールボックスなどからのリード線を自動的に抽出
Automatically updated via Stock Entry of type Manufacture/Repack,自動的に型製造/詰め替えの証券エントリーを介して更新
Automotive,自動車
Autoreply when a new mail is received,新しいメールが受信される自動返信
Available,利用できる
Available Qty at Warehouse,倉庫での在庫は注文
Available Stock for Packing Items,アイテムのパッキングに使用でき証券
"Available in BOM, Delivery Note, Purchase Invoice, Production Order, Purchase Order, Purchase Receipt, Sales Invoice, Sales Order, Stock Entry, Timesheet",部品表、納品書、請求書購入、製造指図、発注、購入時の領収書、納品書、受注、証券エントリー、タイムシートで利用可能
Average Age,平均年齢
Average Commission Rate,平均手数料率
Average Discount,平均割引
Awesome Products,素晴らしい製品
Awesome Services,素晴らしいサービス
BOM Detail No,部品表の詳細はありません
BOM Explosion Item,BOM爆発アイテム
BOM Item,BOM明細
BOM No,部品表はありません
BOM No. for a Finished Good Item,完成品アイテムのBOM番号
BOM Operation,部品表の操作
BOM Operations,部品表の操作
BOM Replace Tool,BOMはツールを交換してください
BOM number is required for manufactured Item {0} in row {1},部品表番号は{1}の行で製造アイテム{0}に必要です
BOM number not allowed for non-manufactured Item {0} in row {1},非製造されたアイテムのために許可されていない部品表番号は{0}行{1}
BOM recursion: {0} cannot be parent or child of {2},部品表再帰：{0} {2}の親または子にすることはできません
BOM replaced,BOM置き換え
BOM {0} for Item {1} in row {2} is inactive or not submitted,BOMは{0}商品{1}の行に{2}が提出され、非アクティブであるかどう
BOM {0} is not active or not submitted,BOMは{0}アクティブか提出していないではありません
BOM {0} is not submitted or inactive BOM for Item {1},BOMは{0}商品{1}のために提出または非アクティブのBOMされていません
Backup Manager,バックアップマネージャ
Backup Right Now,バックアップ·ライト·ナウ
Backups will be uploaded to,バックアップはにアップロードされます
Balance Qty,バランス数量
Balance Sheet,バランスシート
Balance Value,バランス値
Balance for Account {0} must always be {1},アカウントの残高は{0}は常に{1}でなければなりません
Balance must be,残高がある必要があります
"Balances of Accounts of type ""Bank"" or ""Cash""",タイプ「銀行」の口座の残高または「現金」
Bank,銀行
Bank / Cash Account,銀行/現金勘定
Bank A/C No.,銀行のA / C番号
Bank Account,銀行口座
Bank Account No.,銀行口座番号
Bank Accounts,銀行口座
Bank Clearance Summary,銀行のクリアランスのまとめ
Bank Draft,銀行為替手形
Bank Name,銀行名
Bank Overdraft Account,銀行当座貸越口座
Bank Reconciliation,銀行和解
Bank Reconciliation Detail,銀行和解の詳細
Bank Reconciliation Statement,銀行和解声明
Bank Voucher,銀行バウチャー
Bank/Cash Balance,銀行/キャッシュバランス
Banking,銀行
Barcode,バーコード
Barcode {0} already used in Item {1},バーコード{0}済みアイテムに使用される{1}
Based On,に基づく
Basic,基本
Basic Info,基本情報
Basic Information,基本情報
Basic Rate,基本料金
Basic Rate (Company Currency),基本速度（会社通貨）
Batch,バッチ
Batch (lot) of an Item.,アイテムのバッチ（ロット）。
Batch Finished Date,バッチ終了日
Batch ID,バッチID
Batch No,バッチ番号
Batch Started Date,バッチは日付を開始
Batch Time Logs for billing.,請求のためのバッチタイムログ。
Batch-Wise Balance History,バッチ式バランス歴史
Batched for Billing,請求のバッチ処理
Better Prospects,より良い展望
Bill Date,ビル日
Bill No,ビルはありません
Bill No {0} already booked in Purchase Invoice {1},ビル·いいえ{0}はすでに購入の請求書に計上{1}
Bill of Material,部品表
Bill of Material to be considered for manufacturing,製造業のために考慮すべき部品表
Bill of Materials (BOM),部品表（BOM）
Billable,請求可能
Billed,課金
Billed Amount,請求金額
Billed Amt,勘定書を出さアマウント
Billing,請求
Billing Address,請求先住所
Billing Address Name,請求先住所の名前
Billing Status,課金状況
Bills raised by Suppliers.,サプライヤーが提起した請求書。
Bills raised to Customers.,お客様に上げ法案。
Bin,ビン
Bio,自己紹介
Biotechnology,バイオテクノロジー
Birthday,誕生日
Block Date,ブロック日付
Block Days,ブロック日数
Block leave applications by department.,部門別に休暇アプリケーションをブロック。
Blog Post,ブログの投稿
Blog Subscriber,ブログ購読者
Blood Group,血液型
Both Warehouse must belong to same Company,両方の倉庫は同じ会社に属している必要があります
Box,ボックス
Branch,ブランチ (branch)
Brand,ブランド
Brand Name,ブランド名
Brand master.,ブランドのマスター。
Brands,ブランド
Breakdown,内訳
Broadcasting,放送
Brokerage,証券仲介
Budget,予算
Budget Allocated,割当予算
Budget Detail,予算の詳細
Budget Details,予算の詳細
Budget Distribution,予算配分
Budget Distribution Detail,予算配分の詳細
Budget Distribution Details,予算配分の詳細
Budget Variance Report,予算差異レポート
Budget cannot be set for Group Cost Centers,予算はグループ原価センタの設定はできません
Build Report,レポートを作成
Bundle items at time of sale.,販売時にアイテムをバンドル。
Business Development Manager,ビジネス開発マネージャー
Buying,買収
Buying & Selling,購買＆販売
Buying Amount,金額を購入
Buying Settings,[設定]を購入
"Buying must be checked, if Applicable For is selected as {0}",適用のためには次のように選択されている場合の購入は、チェックする必要があります{0}
C-Form,C-フォーム
C-Form Applicable,適用C-フォーム
C-Form Invoice Detail,C-フォーム請求書の詳細
C-Form No,C-フォームはありません
C-Form records,C型の記録
CENVAT Capital Goods,CENVAT資本財
CENVAT Edu Cess,CENVATエドゥ目的税
CENVAT SHE Cess,CENVAT SHE目的税
CENVAT Service Tax,CENVAT·サービス税
CENVAT Service Tax Cess 1,CENVATサービス税目的税1
CENVAT Service Tax Cess 2,CENVATサービス税目的税2
Calculate Based On,ベース上での計算
Calculate Total Score,合計スコアを計算
Calendar Events,カレンダーのイベント
Call,呼び出します
Calls,通話
Campaign,キャンペーン
Campaign Name,キャンペーン名
Campaign Name is required,キャンペーン名が必要です
Campaign Naming By,キャンペーンの命名により、
Campaign-.####,キャンペーン。＃＃＃＃
Can be approved by {0},{0}によって承認することができます
"Can not filter based on Account, if grouped by Account",アカウント別にグループ化されている場合、アカウントに基づいてフィルタリングすることはできません
"Can not filter based on Voucher No, if grouped by Voucher",バウチャーに基づいてフィルタリングすることはできませんいいえ、クーポンごとにグループ化された場合
Can refer row only if the charge type is 'On Previous Row Amount' or 'Previous Row Total',または '前の行の合計' '前の行の量に「充電式である場合にのみ、行を参照することができます
Cancel Material Visit {0} before cancelling this Customer Issue,この顧客の問題をキャンセルする前の材料の訪問{0}をキャンセル
Cancel Material Visits {0} before cancelling this Maintenance Visit,このメンテナンス訪問をキャンセルする前の材料の訪問{0}をキャンセル
Cancelled,キャンセル済み
Cancelling this Stock Reconciliation will nullify its effect.,このストック調整をキャンセルすると、その効果を無効にします。
Cannot Cancel Opportunity as Quotation Exists,引用が存在する限り機会をキャンセルすることはできません
Cannot approve leave as you are not authorized to approve leaves on Block Dates,あなたがブロックした日時に葉を承認する権限がありませんように休暇を承認することはできません
Cannot cancel because Employee {0} is already approved for {1},従業員{0}はすでに{1}のために承認されているため、キャンセルすることはできません
Cannot cancel because submitted Stock Entry {0} exists,提出した株式のエントリは{0}が存在するため、キャンセルすることはできません
Cannot carry forward {0},繰越はできません{0}
Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,年度開始日と会計年度が保存されると決算日を変更することはできません。
"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",既存のトランザクションが存在するため、同社のデフォルトの通貨を変更することはできません。トランザクションは、デフォルトの通貨を変更するにはキャンセルする必要があります。
Cannot convert Cost Center to ledger as it has child nodes,それが子ノードを持っているように元帳にコストセンターを変換することはできません
Cannot covert to Group because Master Type or Account Type is selected.,マスタタイプまたはアカウントタイプが選択されているため、グループにひそかすることはできません。
Cannot deactive or cancle BOM as it is linked with other BOMs,それは、他の部品表とリンクされているように、BOMを非アクティブかcancleすることはできません
"Cannot declare as lost, because Quotation has been made.",失われたように引用がなされているので、宣言することはできません。
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',カテゴリーは「評価」や「評価と合計 'のときに控除することができません
"Cannot delete Serial No {0} in stock. First remove from stock, then delete.",在庫が{0}シリアル番号を削除することはできません。最初に削除して、在庫から削除します。
"Cannot directly set amount. For 'Actual' charge type, use the rate field",直接金額を設定することはできません。「実際の」充電式の場合は、レートフィールドを使用する
"Cannot overbill for Item {0} in row {0} more than {1}. To allow overbilling, please set in Stock Settings",{1}より{0}の行の{0}以上のアイテムのために払い過ぎることはできません。過大請求を可能にするために、ストック設定で設定してください
Cannot produce more Item {0} than Sales Order quantity {1},より多くのアイテムを生成することはできません{0}より受注数量{1}
Cannot refer row number greater than or equal to current row number for this Charge type,この充電式のために以上現在の行数と同じ行番号を参照することはできません
Cannot return more than {0} for Item {1},{0}商品{1}以上のものを返すことはできません
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,最初の行のために「前の行量オン」または「前の行トータル」などの電荷の種類を選択することはできません
Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for valuation. You can select only 'Total' option for previous row amount or previous row total,価値評価のための「前の行トータルの 'または'前の行量オン」などの電荷の種類を選択することはできません。あなたが前の行量や前の行の合計のための唯一の「合計」オプションを選択することができます
Cannot set as Lost as Sales Order is made.,受注が行われたとして失わように設定することはできません。
Cannot set authorization on basis of Discount for {0},{0}の割引に基づいて認可を設定することはできません
Capacity,容量
Capacity Units,キャパシティー·ユニット
Capital Account,資本勘定
Capital Equipments,資本設備
Carry Forward,繰り越す
Carry Forwarded Leaves,転送された葉を運ぶ
Case No(s) already in use. Try from Case No {0},既に使用されているケースはありません（S）。ケースはありませんから、お試しください{0}
Case No. cannot be 0,ケース番号は0にすることはできません
Cash,現金
Cash In Hand,手持ちの現金
Cash Voucher,金券
Cash or Bank Account is mandatory for making payment entry,現金または銀行口座は、支払いのエントリを作成するための必須です
Cash/Bank Account,現金/銀行口座
Casual Leave,臨時休暇
Cell Number,細胞の数
Change UOM for an Item.,アイテムのUOMを変更します。
Change the starting / current sequence number of an existing series.,既存のシリーズの開始/現在のシーケンス番号を変更します。
Channel Partner,チャネルパートナー
Charge of type 'Actual' in row {0} cannot be included in Item Rate,「実際の」型の電荷が行に{0}商品料金に含めることはできません
Chargeable,充電
Charity and Donations,チャリティーや寄付
Chart Name,チャート名
Chart of Accounts,勘定コード表
Chart of Cost Centers,コストセンターのチャート
Check how the newsletter looks in an email by sending it to your email.,ニュースレターは、あなたの電子メールに送信することによって、電子メールにどのように見えるかを確認してください。
"Check if recurring invoice, uncheck to stop recurring or put proper End Date",請求書を定期的かどうかをチェックし、定期的な停止または適切な終了日を入れてチェックを外し
"Check if you need automatic recurring invoices. After submitting any sales invoice, Recurring section will be visible.",自動定期的な請求書を必要とするかどうかを確認します。いずれの売上請求書を提出した後、定期的なセクションは表示されます。
Check if you want to send salary slip in mail to each employee while submitting salary slip,あなたが給料スリップを提出しながら、各従業員へのメール給与伝票を送信するかどうかを確認してください
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,あなたが保存する前に、一連の選択をユーザに強制したい場合は、これを確認してください。これをチェックするとデフォルトはありません。
Check this if you want to show in website,あなたのウェブサイトに表示する場合は、これをチェックする
Check this to disallow fractions. (for Nos),画分を許可しないように、これをチェックしてください。 （NOS用）
Check this to pull emails from your mailbox,あなたのメールボックスからメールをプルするために、これをチェックする
Check to activate,アクティブにするためにチェックする
Check to make Shipping Address,配送先住所を確認してください
Check to make primary address,プライマリアドレスを確認してください
Chemical,Chemica
Cheque,小切手
Cheque Date,小切手日
Cheque Number,小切手番号
Child account exists for this account. You can not delete this account.,子アカウントは、このアカウントの存在しています。このアカウントを削除することはできません。
City,市区町村
City/Town,市町村
Claim Amount,請求額
Claims for company expense.,会社の経費のために主張している。
Class / Percentage,クラス/パーセンテージ
Classic,クラシック
Clear Table,クリア表
Clearance Date,クリアランス日
Clearance Date not mentioned,クリアランス日付言及していない
Clearance date cannot be before check date in row {0},クリアランス日付は行のチェック日付より前にすることはできません{0}
Click on 'Make Sales Invoice' button to create a new Sales Invoice.,新しい売上請求書を作成するために「納品書を確認」ボタンをクリックしてください。
